,16bit_input_data,16bit_output_data
550,000000000000000,"1111101000100111
"
551,000000000000000,"1111101000101000
"
552,000000000000000,"1111101000101001
"
553,000000000000000,"1111101000101010
"
554,000000000000000,"1111101000101011
"
555,000000000000000,"1111101000101100
"
556,000000000000000,"1111101000101101
"
557,000000000000000,"1111101000101110
"
558,000000000000000,"1111101000101111
"
559,000000000000000,"1111101000110000
"
560,000000000000000,"1111101000110001
"
561,000000000000000,"1111101000110010
"
562,000000000000000,"1111101000110011
"
563,000000000000000,"1111101000110100
"
564,000000000000000,"1111101000110101
"
565,000000000000000,"1111101000110110
"
566,000000000000000,"1111101000110111
"
567,000000000000000,"1111101000111000
"
568,000000000000000,"1111101000111001
"
569,000000000000000,"1111101000111010
"
570,000000000000000,"1111101000111011
"
571,000000000000000,"1111101000111100
"
572,000000000000000,"1111101000111101
"
573,000000000000000,"1111101000111110
"
574,000000000000000,"1111101000111111
"
575,000000000000000,"1111101001000000
"
576,000000000000000,"1111101001000001
"
577,000000000000000,"1111101001000010
"
578,000000000000000,"1111101001000011
"
579,000000000000000,"1111101001000100
"
580,000000000000000,"1111101001000101
"
581,000000000000000,"1111101001000110
"
582,000000000000000,"1111101001000111
"
583,000000000000000,"1111101001001000
"
584,000000000000000,"1111101001001001
"
585,000000000000000,"1111101001001010
"
586,000000000000000,"1111101001001011
"
587,000000000000000,"1111101001001100
"
588,000000000000000,"1111101001001101
"
589,000000000000000,"1111101001001110
"
590,000000000000000,"1111101001001111
"
591,000000000000000,"1111101001010000
"
592,000000000000000,"1111101001010001
"
593,000000000000000,"1111101001010010
"
594,000000000000000,"1111101001010011
"
595,000000000000000,"1111101001010100
"
596,000000000000000,"1111101001010101
"
597,000000000000000,"1111101001010110
"
598,000000000000000,"1111101001010111
"
599,000000000000000,"1111101001011000
"
600,000000000000000,"1111101001011001
"
601,000000000000000,"1111101001011010
"
602,000000000000000,"1111101001011011
"
603,000000000000000,"1111101001011100
"
604,000000000000000,"1111101001011101
"
605,000000000000000,"1111101001011110
"
606,000000000000000,"1111101001011111
"
607,000000000000000,"1111101001100000
"
608,000000000000000,"1111101001100001
"
609,000000000000000,"1111101001100010
"
610,000000000000000,"1111101001100011
"
611,000000000000000,"1111101001100100
"
612,000000000000000,"1111101001100101
"
613,000000000000000,"1111101001100110
"
614,000000000000000,"1111101001100111
"
615,000000000000000,"1111101001101000
"
616,000000000000000,"1111101001101001
"
617,000000000000000,"1111101001101010
"
618,000000000000000,"1111101001101011
"
619,000000000000000,"1111101001101100
"
620,000000000000000,"1111101001101101
"
621,000000000000000,"1111101001101110
"
622,000000000000000,"1111101001101111
"
623,000000000000000,"1111101001110000
"
624,000000000000000,"1111101001110001
"
625,000000000000000,"1111101001110010
"
626,000000000000000,"1111101001110011
"
627,000000000000000,"1111101001110100
"
628,000000000000000,"1111101001110101
"
629,000000000000000,"1111101001110110
"
630,000000000000000,"1111101001110111
"
631,000000000000000,"1111101001111000
"
632,000000000000000,"1111101001111001
"
633,000000000000000,"1111101001111010
"
634,000000000000000,"1111101001111011
"
635,000000000000000,"1111101001111100
"
636,000000000000000,"1111101001111101
"
637,000000000000000,"1111101001111110
"
638,000000000000000,"1111101001111111
"
639,000000000000000,"1111101010000000
"
640,000000000000000,"1111101010000001
"
641,000000000000000,"1111101010000010
"
642,000000000000000,"1111101010000011
"
643,000000000000000,"1111101010000100
"
644,000000000000000,"1111101010000101
"
645,000000000000000,"1111101010000110
"
646,000000000000000,"1111101010000111
"
647,000000000000000,"1111101010001000
"
648,000000000000000,"1111101010001001
"
649,000000000000000,"1111101010001010
"
650,000000000000000,"1111101010001011
"
651,000000000000000,"1111101010001100
"
652,000000000000000,"1111101010001101
"
653,000000000000000,"1111101010001110
"
654,000000000000000,"1111101010001111
"
655,000000000000000,"1111101010010000
"
656,000000000000000,"1111101010010001
"
657,000000000000000,"1111101010010010
"
658,000000000000000,"1111101010010011
"
659,000000000000000,"1111101010010100
"
660,000000000000000,"1111101010010101
"
661,000000000000000,"1111101010010110
"
662,000000000000000,"1111101010010111
"
663,000000000000000,"1111101010011000
"
664,000000000000000,"1111101010011001
"
665,000000000000000,"1111101010011010
"
666,000000000000000,"1111101010011011
"
667,000000000000000,"1111101010011100
"
668,000000000000000,"1111101010011101
"
669,000000000000000,"1111101010011110
"
670,000000000000000,"1111101010011111
"
671,000000000000000,"1111101010100000
"
672,000000000000000,"1111101010100001
"
673,000000000000000,"1111101010100010
"
674,000000000000000,"1111101010100011
"
675,000000000000000,"1111101010100100
"
676,000000000000000,"1111101010100101
"
677,000000000000000,"1111101010100110
"
678,000000000000000,"1111101010100111
"
679,000000000000000,"1111101010101000
"
680,000000000000000,"1111101010101001
"
681,000000000000000,"1111101010101010
"
682,000000000000000,"1111101010101011
"
683,000000000000000,"1111101010101100
"
684,000000000000000,"1111101010101101
"
685,000000000000000,"1111101010101110
"
686,000000000000000,"1111101010101111
"
687,000000000000000,"1111101010110000
"
688,000000000000000,"1111101010110001
"
689,000000000000000,"1111101010110010
"
690,000000000000000,"1111101010110011
"
691,000000000000000,"1111101010110100
"
692,000000000000000,"1111101010110101
"
693,000000000000000,"1111101010110110
"
694,000000000000000,"1111101010110111
"
695,000000000000000,"1111101010111000
"
696,000000000000000,"1111101010111001
"
697,000000000000000,"1111101010111010
"
698,000000000000000,"1111101010111011
"
699,000000000000000,"1111101010111100
"
700,000000000000000,"1111101010111101
"
701,000000000000000,"1111101010111110
"
702,000000000000000,"1111101010111111
"
703,000000000000000,"1111101011000000
"
704,000000000000000,"1111101011000001
"
705,000000000000000,"1111101011000010
"
706,000000000000000,"1111101011000011
"
707,000000000000000,"1111101011000100
"
708,000000000000000,"1111101011000101
"
709,000000000000000,"1111101011000110
"
710,000000000000000,"1111101011000111
"
711,000000000000000,"1111101011001000
"
712,000000000000000,"1111101011001001
"
713,000000000000000,"1111101011001010
"
714,000000000000000,"1111101011001011
"
715,000000000000000,"1111101011001100
"
716,000000000000000,"1111101011001101
"
717,000000000000000,"1111101011001110
"
718,000000000000000,"1111101011001111
"
719,000000000000000,"1111101011010000
"
720,000000000000000,"1111101011010001
"
721,000000000000000,"1111101011010010
"
722,000000000000000,"1111101011010011
"
723,000000000000000,"1111101011010100
"
724,000000000000000,"1111101011010101
"
725,000000000000000,"1111101011010110
"
726,000000000000000,"1111101011010111
"
727,000000000000000,"1111101011011000
"
728,000000000000000,"1111101011011001
"
729,000000000000000,"1111101011011010
"
730,000000000000000,"1111101011011011
"
731,000000000000000,"1111101011011100
"
732,000000000000000,"1111101011011101
"
733,000000000000000,"1111101011011110
"
734,000000000000000,"1111101011011111
"
735,000000000000000,"1111101011100000
"
736,000000000000000,"1111101011100001
"
737,000000000000000,"1111101011100010
"
738,000000000000000,"1111101011100011
"
739,000000000000000,"1111101011100100
"
740,000000000000000,"1111101011100101
"
741,000000000000000,"1111101011100110
"
742,000000000000000,"1111101011100111
"
743,000000000000000,"1111101011101000
"
744,000000000000000,"1111101011101001
"
745,000000000000000,"1111101011101010
"
746,000000000000000,"1111101011101011
"
747,000000000000000,"1111101011101100
"
748,000000000000000,"1111101011101101
"
749,000000000000000,"1111101011101110
"
750,000000000000000,"1111101011101111
"
751,000000000000000,"1111101011110000
"
752,000000000000000,"1111101011110001
"
753,000000000000000,"1111101011110010
"
754,000000000000000,"1111101011110011
"
755,000000000000000,"1111101011110100
"
756,000000000000000,"1111101011110101
"
757,000000000000000,"1111101011110110
"
758,000000000000000,"1111101011110111
"
759,000000000000000,"1111101011111000
"
760,000000000000000,"1111101011111001
"
761,000000000000000,"1111101011111010
"
762,000000000000000,"1111101011111011
"
763,000000000000000,"1111101011111100
"
764,000000000000000,"1111101011111101
"
765,000000000000000,"1111101011111110
"
766,000000000000000,"1111101011111111
"
767,000000000000000,"1111101100000000
"
768,000000000000000,"1111101100000001
"
769,000000000000000,"1111101100000010
"
770,000000000000000,"1111101100000011
"
771,000000000000000,"1111101100000100
"
772,000000000000000,"1111101100000101
"
